年,月,日,曜日,気温,降水量,日射量,降雪量,風速,最多風向,気圧,湿度,雲量,天気概況(昼),天気概況(夜)
2018,7,5,木,26.7,2.0,6.96,0,6.9,南,1001.9,79,10.0,雨後一時曇,雨時々曇
2018,7,6,金,21.7,28.5,2.93,0,3.1,東北東,1007.7,99,10.0,雨後時々曇,雨時々曇
2018,7,7,土,25.0,0.0,16.16,0,3.8,南,1009.9,86,10.0,曇,薄曇
2018,7,8,日,27.4,0,21.06,0,3.9,南,1012.9,79,10.0,薄曇,晴時々薄曇
2018,7,9,月,27.3,3.5,18.22,0,3.2,南南東,1015.9,86,7.8,晴時々曇一時雨,晴時々曇
2018,7,10,火,28.5,0,27.49,0,3.7,南南東,1015.0,78,6.0,晴時々薄曇,曇時々晴
2018,7,11,水,29.0,0.0,18.38,0,2.1,南,1011.6,75,10.0,薄曇,曇時々雨
2018,7,12,木,26.6,3.5,14.83,0,2.6,北東,1010.2,83,10.0,曇一時雨後一時晴,曇
2018,7,13,金,29.1,0,22.77,0,2.7,南,1006.8,75,8.5,薄曇,晴時々薄曇
2018,7,14,土,30.1,0,22.12,0,2.8,南東,1007.6,70,7.0,晴時々薄曇,晴一時曇
2018,7,15,日,29.7,0,26.36,0,3.2,南南東,1009.0,78,3.0,晴,晴後薄曇
2018,7,16,月,29.9,0,24.03,0,3.0,南南東,1008.7,78,9.8,薄曇,薄曇
2018,7,17,火,29.9,0,24.60,0,3.4,南南東,1008.0,78,10.0,薄曇後一時晴,薄曇時々晴
2018,7,18,水,30.5,0,24.65,0,3.0,南南東,1007.2,75,5.3,晴,晴
2018,7,19,木,29.9,0,26.92,0,3.6,南南東,1007.6,78,7.3,晴後薄曇,晴一時曇
2018,7,20,金,29.9,0,26.63,0,4.4,南,1008.3,75,3.5,晴,快晴
2018,7,21,土,30.5,0,25.65,0,3.2,南,1007.7,72,6.5,晴後薄曇,薄曇後晴
2018,7,22,日,31.0,0,21.38,0,2.4,南南東,1005.5,73,8.3,薄曇時々晴,薄曇
2018,7,23,月,32.2,0,21.30,0,2.9,南東,1002.7,59,7.5,薄曇後一時晴,晴時々曇
2018,7,24,火,29.8,2.5,21.64,0,2.8,南南東,1003.7,76,6.3,晴一時曇,曇一時雨、雷を伴う
2018,7,25,水,28.1,0.0,12.89,0,3.0,南東,1006.3,81,10.0,曇,曇
2018,7,26,木,26.5,0.0,14.88,0,2.9,東北東,1007.1,68,9.8,曇時々晴,曇時々晴
2018,7,27,金,25.4,0.0,14.22,0,3.1,北東,1006.3,69,9.5,晴後曇,曇後雨
2018,7,28,土,24.0,52.0,5.51,0,4.2,北北西,1000.1,96,10.0,大雨一時曇,雨一時曇
2018,7,29,日,27.9,15.0,19.45,0,3.6,南東,1002.8,85,9.0,晴時々曇,晴後一時曇
2018,7,30,月,28.0,0.0,13.72,0,2.6,東南東,1006.1,82,8.8,曇一時晴,曇後晴
2018,7,31,火,28.4,0,19.07,0,2.6,南南東,1003.6,79,4.5,晴一時曇,快晴
2018,8,1,水,30.3,0,25.64,0,2.6,南南東,1000.6,73,1.8,晴,晴
2018,8,2,木,31.2,0.0,21.90,0,2.5,南南東,1002.0,70,6.5,晴後薄曇,薄曇後晴
2018,8,3,金,30.5,0.0,16.98,0,2.6,東南東,1003.3,74,6.0,晴,晴時々曇、雷を伴う
2018,8,4,土,29.8,0,24.34,0,2.8,南南東,1004.3,72,7.3,晴一時薄曇,晴後曇
2018,8,5,日,30.4,0,24.09,0,3.3,南南東,1001.6,77,4.5,晴,晴一時曇
2018,8,6,月,28.7,0.0,18.89,0,3.0,東北東,1001.5,80,10.0,曇時々晴,曇後雨
2018,8,7,火,22.2,4.5,3.55,0,3.3,北北西,1005.2,93,10.0,雨一時曇,曇時々雨
2018,8,8,水,23.6,41.0,5.41,0,3.9,北北西,997.6,95,10.0,雨,雨
2018,8,9,木,27.4,4.0,8.98,0,5.0,南,994.2,85,8.3,曇一時晴,晴
2018,8,10,金,29.8,0,23.20,0,3.8,南,998.8,76,5.8,晴一時薄曇,曇時々晴
2018,8,11,土,28.7,0.5,17.27,0,2.3,南南東,1001.8,85,9.5,曇時々晴一時雨、雷を伴う,曇後一時雨、雷を伴う
2018,8,12,日,27.7,0.0,9.54,0,2.2,南南東,1007.2,85,10.0,曇,曇一時雨
2018,8,13,月,27.5,10.5,14.34,0,2.0,西北西,1008.8,91,10.0,晴一時雨、雷を伴う,晴時々曇
2018,8,14,火,28.8,0,23.67,0,3.8,南,1010.2,79,6.0,薄曇時々晴,晴時々薄曇
2018,8,15,水,29.7,0,23.71,0,5.8,南,1010.1,72,9.5,薄曇,薄曇後晴
2018,8,16,木,29.1,0.0,18.08,0,5.9,南南西,1003.4,72,9.0,薄曇,曇一時雨
2018,8,17,金,26.3,0.0,25.81,0,5.5,北西,1004.9,44,4.0,晴,晴後一時薄曇
2018,8,18,土,22.7,0,24.95,0,2.9,南南東,1010.4,57,7.8,薄曇一時晴,薄曇後晴
2018,8,19,日,23.6,0,21.69,0,2.5,南南東,1012.0,66,7.8,薄曇一時晴,薄曇
2018,8,20,月,24.7,0.0,11.02,0,1.7,北北西,1010.8,74,10.0,曇一時雨,曇
2018,8,21,火,28.2,0.0,21.55,0,3.5,南,1009.5,80,6.0,曇後晴,晴一時曇
2018,8,22,水,29.7,0.0,24.87,0,4.9,南,1010.9,75,2.8,晴,晴
2018,8,23,木,29.4,0.0,18.11,0,4.8,南南東,1011.4,78,8.5,晴後曇,曇後一時雨
2018,8,24,金,28.2,7.5,11.57,0,7.4,南,1007.1,84,10.0,雨後曇,薄曇
2018,8,25,土,31.1,0,24.52,0,4.3,南南西,1006.7,70,5.5,晴,晴
2018,8,26,日,31.0,0,23.77,0,2.1,南,1007.5,72,3.5,晴,晴
2018,8,27,月,29.4,16.0,22.60,0,2.9,南南東,1008.9,74,4.5,晴後一時曇,曇時々雨、雷を伴う
2018,8,28,火,26.6,1.0,12.91,0,2.3,北北東,1009.4,84,10.0,曇,曇
2018,8,29,水,26.1,0.5,5.97,0,2.4,南東,1010.1,86,10.0,曇,曇一時雨
2018,8,30,木,28.8,0.0,19.10,0,2.9,南,1008.2,77,9.3,晴後薄曇,薄曇時々晴
2018,8,31,金,28.7,1.0,21.18,0,2.5,南,1005.3,77,9.3,薄曇時々晴一時雨、雷を伴う,曇時々晴一時雨
2018,9,1,土,25.9,6.0,9.61,0,2.5,東北東,1006.0,86,8.5,曇一時雨,曇時々雨
2018,9,2,日,22.1,7.5,4.26,0,2.0,北,1010.9,95,10.0,雨後曇,曇一時雨
2018,9,3,月,23.6,4.0,6.02,0,1.8,北北東,1008.8,95,10.0,雨後曇一時晴,曇時々晴一時雨
2018,9,4,火,26.5,14.5,4.89,0,5.9,南,1001.4,90,10.0,曇時々雨,曇一時雨、雷を伴う
2018,9,5,水,27.6,8.5,20.45,0,6.6,南南西,999.1,75,6.5,晴一時曇,曇時々晴
2018,9,6,木,27.6,0,16.31,0,3.7,南南西,1004.6,67,8.8,曇一時晴,曇後時々雨
2018,9,7,金,27.5,0.0,9.72,0,5.4,南南西,1006.3,75,9.3,曇一時雨,晴時々薄曇
2018,9,8,土,28.8,0.0,21.32,0,5.3,南,1008.6,74,8.3,晴一時薄曇,曇時々晴
2018,9,9,日,28.3,0,18.90,0,4.9,南,1011.6,76,8.3,晴一時曇,曇一時晴
2018,9,10,月,25.5,38.5,13.69,0,3.6,南,1010.7,89,10.0,曇時々雨,大雨後一時曇
2018,9,11,火,21.4,4.0,7.59,0,3.7,北東,1017.3,81,10.0,曇,曇一時晴
2018,9,12,水,21.0,0.0,12.30,0,2.9,北東,1020.4,70,9.5,曇,曇一時雨後時々晴
2018,9,13,木,22.4,0.0,14.51,0,2.1,北北西,1017.8,78,10.0,曇一時晴,雨一時曇
2018,9,14,金,21.9,7.5,7.29,0,2.0,南,1016.3,93,10.0,曇一時雨,雨時々曇
2018,9,15,土,20.5,14.5,4.15,0,1.5,東北東,1012.9,100,10.0,雨一時曇,曇
2018,9,16,日,23.1,0.0,14.44,0,1.8,南南東,1010.2,89,8.8,曇後晴,晴後一時曇
2018,9,17,月,24.7,26.0,15.91,0,2.3,南南東,1008.6,86,9.5,曇一時晴後一時雨,雨後曇、雷を伴う
2018,9,18,火,23.3,40.5,18.31,0,2.7,南東,1011.2,88,7.8,晴時々曇,大雨後曇
2018,9,19,水,22.2,0.0,19.51,0,2.8,北北東,1011.7,72,7.3,晴,曇時々晴
2018,9,20,木,19.9,40.5,4.98,0,2.1,北北西,1012.5,85,10.0,雨時々曇,雨
2018,9,21,金,17.7,36.0,2.27,0,3.5,北北西,1010.2,100,10.0,雨,曇一時雨
2018,9,22,土,21.5,0.0,8.47,0,1.2,北西,1007.0,95,8.5,曇一時雨,曇一時晴
2018,9,23,日,24.5,0.0,15.45,0,2.3,南東,1013.3,77,9.3,曇一時晴,曇
2018,9,24,月,24.4,1.5,11.64,0,2.0,東北東,1012.3,84,9.8,曇一時雨,曇一時晴
2018,9,25,火,21.3,14.5,3.21,0,2.5,北東,1011.9,95,10.0,雨時々曇,雨一時曇
2018,9,26,水,17.7,38.5,3.59,0,2.5,北北西,1014.6,96,10.0,曇時々雨,大雨
2018,9,27,木,15.9,19.0,3.54,0,2.9,北北西,1010.8,99,10.0,雨時々曇,晴一時曇
2018,9,28,金,19.7,0,20.77,0,2.1,南南東,1014.2,77,1.5,快晴,晴後時々曇
2018,9,29,土,18.8,9.5,4.69,0,2.1,北北西,1016.8,95,10.0,雨一時曇,雨一時曇
2018,9,30,日,20.4,34.0,5.96,0,3.5,南南東,1002.2,97,10.0,雨時々曇,曇時々暴風雨
2018,10,1,月,26.1,18.0,19.84,0,6.1,南南西,991.5,62,6.5,晴一時薄曇,快晴
2018,10,2,火,22.0,0,19.29,0,2.9,南南東,1009.7,56,3.3,晴,晴時々曇
2018,10,3,水,21.0,0,7.60,0,2.3,北北西,1017.2,77,8.3,曇,曇
2018,10,4,木,20.1,0.0,5.39,0,2.4,北北東,1023.3,78,10.0,曇時々雨,曇時々雨
2018,10,5,金,18.7,9.5,2.80,0,2.4,北北西,1022.9,95,10.0,雨,雨後曇
2018,10,6,土,23.7,0,16.08,0,3.4,南,1012.5,89,7.3,晴一時曇,晴一時曇
2018,10,7,日,27.5,0,18.48,0,4.4,南南西,1005.2,65,2.8,晴,曇一時晴
2018,10,8,月,21.9,0.0,5.56,0,2.7,東北東,1011.8,73,9.0,曇後一時晴,晴一時曇
2018,10,9,火,21.9,0,12.19,0,2.2,北,1012.8,76,5.8,晴一時曇,晴後一時曇
2018,10,10,水,22.4,0.5,13.63,0,2.4,東,1012.8,79,9.0,薄曇時々晴,曇時々雨、雷を伴う
2018,10,11,木,21.7,1.0,4.01,0,2.0,北北西,1010.7,93,10.0,曇,曇一時雨
2018,10,12,金,20.0,0.0,5.70,0,2.8,北北西,1014.0,77,10.0,曇一時雨,曇
2018,10,13,土,17.4,0.0,3.80,0,2.6,北北東,1020.6,65,10.0,曇,曇後雨
2018,10,14,日,16.4,7.5,8.31,0,2.3,北西,1018.0,85,9.8,曇一時雨,曇一時晴
2018,10,15,月,18.1,0.5,7.00,0,1.5,北北東,1015.8,81,10.0,曇後一時雨,曇時々雨後一時晴
2018,10,16,火,18.4,0.0,9.62,0,2.1,北北西,1010.9,79,9.0,薄曇,曇後雨
2018,10,17,水,18.2,1.0,10.66,0,2.5,北北東,1008.6,77,9.5,曇時々晴,曇時々晴
2018,10,18,木,17.2,0,11.56,0,2.6,北,1013.6,73,5.8,晴時々曇,晴後曇一時雨
2018,10,19,金,16.6,0.5,7.06,0,2.5,北北西,1015.2,79,9.5,曇時々雨,晴時々曇
2018,10,20,土,16.6,9.0,13.82,0,2.8,北北西,1014.9,79,7.5,晴一時曇後一時雨、雷を伴う,曇一時雨後晴、雷を伴う
2018,10,21,日,16.6,0,17.23,0,2.6,北北西,1017.6,56,0.0,快晴,快晴
2018,10,22,月,16.6,0,16.46,0,2.1,北北西,1020.6,63,3.5,晴,曇一時晴
2018,10,23,火,14.6,1.5,4.56,0,2.7,北西,1019.1,85,10.0,曇時々雨,曇時々雨一時晴
2018,10,24,水,17.7,0.5,11.36,0,2.2,北,1012.2,81,7.8,曇後晴,晴一時曇
2018,10,25,木,18.1,0,16.03,0,2.3,北東,1015.4,62,2.0,晴,晴後曇
2018,10,26,金,18.0,0.0,9.68,0,2.3,南南東,1017.2,68,9.5,曇時々晴,曇後雨
2018,10,27,土,19.1,12.0,8.74,0,2.1,南南西,1005.1,90,7.3,曇一時雨後晴,晴時々曇
2018,10,28,日,16.9,0,9.09,0,2.2,北西,1006.3,73,5.0,曇後晴,晴
2018,10,29,月,17.0,0,15.36,0,2.4,南南東,1006.1,74,0.0,快晴,快晴
2018,10,30,火,17.0,0,14.88,0,2.3,北西,1007.9,62,1.5,晴,晴後薄曇
2018,10,31,水,15.0,0,11.26,0,2.6,北西,1010.8,50,8.8,薄曇時々晴,薄曇後晴
2018,11,1,木,14.7,0,14.76,0,3.1,北西,1016.0,47,4.3,晴,晴
2018,11,2,金,14.5,0,15.26,0,2.2,北北西,1021.8,58,2.0,快晴,晴
2018,11,3,土,14.9,0,13.62,0,2.1,北北西,1022.3,70,3.5,晴後一時曇,晴後曇
2018,11,4,日,14.8,0.0,4.09,0,2.0,北西,1019.7,81,9.8,曇後雨,曇時々雨
2018,11,5,月,18.0,1.5,8.50,0,1.8,北西,1018.6,88,9.3,曇時々晴一時雨,曇一時雨
2018,11,6,火,17.6,35.5,3.41,0,1.9,北北西,1017.7,97,10.0,曇後大雨,雨時々曇
2018,11,7,水,16.6,0.0,10.44,0,2.8,北北東,1020.2,74,7.5,晴一時曇,晴時々曇
2018,11,8,木,16.9,0.0,10.57,0,2.7,北北西,1021.2,73,7.0,晴後一時曇,曇後雨
2018,11,9,金,15.6,7.0,2.23,0,1.8,北西,1016.9,100,10.0,雨時々曇,曇一時雨
2018,11,10,土,18.1,1.5,12.52,0,2.2,北西,1014.4,84,6.3,晴後一時曇,曇一時雨
2018,11,11,日,16.3,0,12.01,0,2.0,南南東,1017.0,62,5.0,晴,晴時々曇
2018,11,12,月,15.7,0.5,6.20,0,1.8,北西,1011.5,79,10.0,曇一時雨,曇後一時雨
2018,11,13,火,14.9,1.5,3.23,0,2.7,北北東,1010.2,83,10.0,曇,曇時々雨
2018,11,14,水,13.6,0.0,12.32,0,2.7,北,1013.1,60,4.3,晴,快晴
2018,11,15,木,12.5,0,13.68,0,2.1,北北西,1019.4,60,0.0,快晴,快晴
2018,11,16,金,13.0,0,11.09,0,1.9,北西,1018.8,71,7.0,晴後曇,曇
2018,11,17,土,14.9,0,12.71,0,2.1,北北東,1013.6,62,6.5,晴時々薄曇,曇時々晴
2018,11,18,日,13.8,0.0,8.29,0,2.1,北東,1015.6,70,10.0,曇,曇一時雨
2018,11,19,月,13.4,8.5,4.31,0,1.9,北,1011.1,85,10.0,曇後一時雨,雨後一時曇
2018,11,20,火,11.3,1.0,10.12,0,2.1,北東,1016.2,70,7.3,晴時々曇,晴一時曇
2018,11,21,水,11.6,1.5,11.25,0,1.6,北西,1018.4,70,5.3,晴一時薄曇,曇時々雨
2018,11,22,木,10.7,4.0,2.98,0,2.0,北北西,1008.6,81,7.5,曇後一時晴,晴
2018,11,23,金,10.8,0,12.47,0,2.3,北北西,1016.0,51,4.3,晴,曇一時晴
2018,11,24,土,9.4,0,6.66,0,2.0,北北東,1022.5,60,8.0,曇後一時晴,晴時々曇
2018,11,25,日,10.1,0,11.80,0,2.0,北北西,1020.0,69,8.3,晴後薄曇,薄曇時々晴
2018,11,26,月,12.4,0,9.96,0,1.9,東北東,1020.3,70,9.8,薄曇一時晴,曇
2018,11,27,火,13.8,0.0,9.17,0,1.9,北北西,1017.8,76,5.5,曇後晴,晴
2018,11,28,水,14.1,0.0,10.34,0,1.6,北北西,1013.6,74,5.0,晴後曇,曇時々雨後一時晴
2018,11,29,木,12.8,0.5,7.84,0,2.5,北東,1015.5,74,10.0,曇一時晴,曇後晴
2018,11,30,金,12.4,0,11.98,0,2.4,北北西,1018.4,56,2.8,晴後一時曇,曇時々晴
2018,12,1,土,12.0,0,11.23,0,2.7,北北西,1017.8,57,5.3,晴一時薄曇,薄曇
2018,12,2,日,10.0,0.0,3.70,0,2.2,北北西,1026.7,58,10.0,曇,曇一時雨
2018,12,3,月,13.2,0.0,6.13,0,1.5,北北西,1022.0,69,10.0,曇,曇一時晴
2018,12,4,火,17.7,0.0,9.54,0,2.9,南,1011.2,76,9.3,曇後晴,曇時々晴一時雨
2018,12,5,水,16.8,0.0,4.16,0,3.1,北北西,1014.4,60,8.5,曇一時晴,曇一時雨
2018,12,6,木,10.1,18.0,1.66,0,2.4,北北西,1014.3,92,10.0,雨後曇,曇一時雨
2018,12,7,金,12.2,0,6.52,0,1.8,北西,1007.6,85,10.0,曇,薄曇
2018,12,8,土,9.3,0,7.57,0,2.3,北北西,1012.4,66,7.3,曇後晴,晴後薄曇
2018,12,9,日,7.8,0,7.96,0,3.1,北北西,1019.3,43,8.3,薄曇後晴,曇一時晴
2018,12,10,月,5.9,0,5.36,0,2.5,北北西,1025.3,52,6.3,曇後晴,快晴
2018,12,11,火,4.7,7.0,2.97,0,2.4,北北西,1025.9,72,7.5,曇一時雨,雨
2018,12,12,水,6.9,15.0,4.16,0,3.4,北北西,1011.1,83,9.0,雨後曇,晴
2018,12,13,木,6.7,0.5,4.11,0,2.6,北北西,1016.8,62,6.8,曇時々雨,晴
2018,12,14,金,6.3,0,11.05,0,4.0,北北西,1017.9,52,3.5,晴,晴時々曇
2018,12,15,土,6.1,0,11.76,0,3.3,北北西,1023.0,42,1.3,快晴,快晴
2018,12,16,日,3.3,0.0,4.45,0,1.7,北西,1020.0,66,7.0,曇一時晴後一時雨,曇一時晴後一時雨
2018,12,17,月,6.6,2.5,7.22,0,1.6,北西,1004.2,84,6.0,雨一時曇後晴,晴
2018,12,18,火,8.9,0.0,11.00,0,2.9,北西,1008.4,61,2.5,晴,快晴
2018,12,19,水,8.2,0,9.83,0,2.0,北西,1012.4,58,0.5,晴,晴後一時薄曇
2018,12,20,木,8.7,0,9.80,0,1.6,北東,1016.2,64,6.3,薄曇時々晴,晴一時薄曇
2018,12,21,金,8.9,0.0,10.68,0,1.8,北北西,1021.2,62,3.3,晴,曇時々晴
2018,12,22,土,9.0,0.5,2.99,0,1.7,北北西,1016.2,76,9.3,晴一時曇後雨,曇一時晴
2018,12,23,日,9.9,0.5,2.50,0,1.7,北西,1011.7,87,9.8,曇時々雨一時晴,晴一時曇
2018,12,24,月,8.2,0,10.91,0,4.0,北北西,1013.2,48,2.3,晴,晴後曇
2018,12,25,火,5.8,0,10.35,0,1.8,北北西,1018.5,52,7.3,薄曇時々晴,晴時々薄曇
2018,12,26,水,7.3,0,6.86,0,1.6,北北西,1011.5,58,7.3,薄曇後一時晴,曇後時々晴
2018,12,27,木,9.0,0,10.07,0,2.3,北西,1003.9,54,3.0,薄曇後晴,晴
2018,12,28,金,4.8,0,12.00,0,4.6,北西,1008.3,36,0.5,晴,快晴
2018,12,29,土,4.3,0,10.98,0,3.1,北西,1012.8,35,2.0,晴,快晴
2018,12,30,日,4.8,0,12.00,0,3.9,北北西,1019.7,37,0.3,快晴,晴
2018,12,31,月,4.9,0,11.40,0,2.8,北西,1025.1,44,4.0,晴一時薄曇,晴